#Delay (ns)	3-1-2	3-1	3-2
-40.437158	0.00000	0.00000	0.09851
-40.356203	0.00000	0.00000	0.04644
-40.275248	0.00000	0.00000	0.09591
-40.194293	0.00000	0.00000	0.04330
-40.113337	0.00000	0.00000	0.09710
-40.032382	0.00000	0.00000	0.04465
-39.951427	0.00000	0.00000	0.09608
-39.870472	0.00000	0.00000	0.04348
-39.789516	0.00000	0.00000	0.09664
-39.708561	0.00000	0.00000	0.04377
-39.627606	0.00000	0.00000	0.09708
-39.546650	0.00000	0.00000	0.04227
-39.465695	0.00000	0.00000	0.09771
-39.384740	0.00000	0.00000	0.04228
-39.303785	0.00000	0.00000	0.10282
-39.222829	0.00000	0.00000	0.04321
-39.141874	0.00000	0.00000	0.09766
-39.060919	0.00000	0.00000	0.04288
-38.979964	0.00000	0.00000	0.09909
-38.899008	0.00000	0.00000	0.04547
-38.818053	0.00000	0.00000	0.09738
-38.737098	0.00000	0.00000	0.04432
-38.656142	0.00000	0.00000	0.09835
-38.575187	0.00000	0.00000	0.04449
-38.494232	0.00000	0.00000	0.09662
-38.413277	0.00000	0.00000	0.04666
-38.332321	0.00000	0.00000	0.09838
-38.251366	0.00000	0.00000	0.04564
-38.170411	0.00000	0.00000	0.09613
-38.089456	0.00000	0.00000	0.04535
-38.008500	0.00000	0.00000	0.09705
-37.927545	0.00000	1.48991E-5	0.04583
-37.846590	0.00000	0.03582	0.09594
-37.765634	0.00000	0.07371	0.04525
-37.684679	0.00000	0.03667	0.10045
-37.603724	0.00000	0.07664	0.04652
-37.522769	0.00000	0.04015	0.09605
-37.441813	0.00000	0.09027	0.04684
-37.360858	0.00000	0.05201	0.09874
-37.279903	0.00000	0.11097	0.04522
-37.198948	0.00000	0.05569	0.09786
-37.117992	0.00000	0.11968	0.04465
-37.037037	0.00000	0.05639	0.09811
-36.956082	0.00000	0.13531	0.04467
-36.875126	0.00000	0.06292	0.09726
-36.794171	0.00000	0.12924	0.04349
-36.713216	0.00000	0.06025	0.09601
-36.632261	0.00000	0.11927	0.04474
-36.551305	0.00000	0.05857	0.09833
-36.470350	0.00000	0.10771	0.04455
-36.389395	0.00000	0.04921	0.10215
-36.308440	0.00000	0.08825	0.04532
-36.227484	0.00000	0.03913	0.10172
-36.146529	0.00000	0.07666	0.04213
-36.065574	0.00000	0.03604	0.09859
-35.984618	0.00000	0.07445	0.04450
-35.903663	0.00000	0.03404	0.09768
-35.822708	0.00000	0.07676	0.04708
-35.741753	0.00000	0.03300	0.09597
-35.660797	0.00000	0.07521	0.04592
-35.579842	0.00000	0.03413	0.09613
-35.498887	0.00000	0.07257	0.04654
-35.417932	0.00000	0.03218	0.09385
-35.336976	0.00000	0.07134	0.04908
-35.256021	0.00000	0.03019	0.09410
-35.175066	0.00000	0.05790	0.04649
-35.094111	0.00000	0.02387	0.09433
-35.013155	0.00000	0.04468	0.04406
-34.932200	0.00000	0.01816	0.09784
-34.851245	0.00000	0.04038	0.04435
-34.770289	0.00000	0.01767	0.09386
-34.689334	0.00000	0.03962	0.04553
-34.608379	0.00000	0.01925	0.09532
-34.527424	0.00000	0.04462	0.04781
-34.446468	0.00000	0.02195	0.09017
-34.365513	0.00000	0.05307	0.04781
-34.284558	0.00000	0.02654	0.09507
-34.203603	0.00000	0.06296	0.04632
-34.122647	0.00000	0.03063	0.09781
-34.041692	0.00000	0.06903	0.04631
-33.960737	0.00000	0.03382	0.09939
-33.879781	0.00000	0.07584	0.04476
-33.798826	0.00000	0.03831	0.09950
-33.717871	0.00000	0.08604	0.04334
-33.636916	0.00000	0.04526	0.09602
-33.555960	0.00000	0.10067	0.04507
-33.475005	0.00000	0.04771	0.09920
-33.394050	0.00000	0.10982	0.04459
-33.313095	0.00000	0.05082	0.09829
-33.232139	0.00000	0.11013	0.04383
-33.151184	0.00000	0.05084	0.09604
-33.070229	0.00000	0.10902	0.04345
-32.989273	0.00000	0.04975	0.09766
-32.908318	0.00000	0.10565	0.04543
-32.827363	0.00000	0.04608	0.09830
-32.746408	0.00000	0.10257	0.04650
-32.665452	0.00000	0.04351	0.09723
-32.584497	0.00000	0.10292	0.04674
-32.503542	0.00000	0.04441	0.09772
-32.422587	0.00000	0.09786	0.04571
-32.341631	0.00000	0.04070	0.09981
-32.260676	0.00000	0.09757	0.04550
-32.179721	0.00000	0.04166	0.09808
-32.098765	0.00000	0.09604	0.04601
-32.017810	0.00000	0.04066	0.09751
-31.936855	0.00000	0.09263	0.04513
-31.855900	0.00000	0.04038	0.09976
-31.774944	0.00000	0.09178	0.04576
-31.693989	0.00000	0.04139	0.09920
-31.613034	0.00000	0.08838	0.04291
-31.532079	0.00000	0.04027	0.10002
-31.451123	0.00000	0.08893	0.04450
-31.370168	0.00000	0.04026	0.09674
-31.289213	0.00000	0.08792	0.04473
-31.208257	0.00000	0.04185	0.09683
-31.127302	0.00000	0.08804	0.04494
-31.046347	0.00000	0.04026	0.09631
-30.965392	0.00000	0.08567	0.04498
-30.884436	0.00000	0.03988	0.10327
-30.803481	0.00000	0.08406	0.04278
-30.722526	0.00000	0.04126	0.09944
-30.641571	0.00000	0.08816	0.04364
-30.560615	0.00000	0.03905	0.10398
-30.479660	0.00000	0.08554	0.04367
-30.398705	0.00000	0.04164	0.09914
-30.317749	0.00000	0.08494	0.04410
-30.236794	0.00000	0.04066	0.09953
-30.155839	0.00000	0.08905	0.04437
-30.074884	0.00000	0.04067	0.09754
-29.993928	0.00000	0.08761	0.04415
-29.912973	0.00000	0.04051	0.10200
-29.832018	0.00000	0.08561	0.04520
-29.751063	0.00000	0.04024	0.09996
-29.670107	0.00000	0.08646	0.04602
-29.589152	0.00000	0.04011	0.09783
