# Time Tags Distribution
# 2019-12-03 16:20:10
# Unit Time Diff: s
# Unit Count: 1
# Time Diff ; Count
 0.0000000E+000 ;  5.1000000E+001
 8.0808081E-011 ;  4.3000000E+001
 1.6161616E-010 ;  8.7000000E+001
 2.4242424E-010 ;  5.3000000E+001
 3.2323232E-010 ;  1.0200000E+002
 4.0404040E-010 ;  6.6000000E+001
 4.8484848E-010 ;  1.5900000E+002
 5.6565657E-010 ;  9.7000000E+001
 6.4646465E-010 ;  2.6800000E+002
 7.2727273E-010 ;  2.0100000E+002
 8.0808081E-010 ;  5.7800000E+002
 8.8888889E-010 ;  3.6500000E+002
 9.6969697E-010 ;  1.0850000E+003
 1.0505051E-009 ;  7.0200000E+002
 1.1313131E-009 ;  2.0840000E+003
 1.2121212E-009 ;  1.0830000E+003
 1.2929293E-009 ;  3.2080000E+003
 1.3737374E-009 ;  1.5910000E+003
 1.4545455E-009 ;  4.0380000E+003
 1.5353535E-009 ;  1.8160000E+003
 1.6161616E-009 ;  3.9670000E+003
 1.6969697E-009 ;  1.6170000E+003
 1.7777778E-009 ;  3.0010000E+003
 1.8585859E-009 ;  1.1020000E+003
 1.9393939E-009 ;  2.0450000E+003
 2.0202020E-009 ;  7.4800000E+002
 2.1010101E-009 ;  1.4250000E+003
 2.1818182E-009 ;  5.5400000E+002
 2.2626263E-009 ;  1.0630000E+003
 2.3434343E-009 ;  3.8700000E+002
 2.4242424E-009 ;  7.4800000E+002
 2.5050505E-009 ;  3.0200000E+002
 2.5858586E-009 ;  5.8900000E+002
 2.6666667E-009 ;  2.0300000E+002
 2.7474747E-009 ;  3.7200000E+002
 2.8282828E-009 ;  1.5700000E+002
 2.9090909E-009 ;  2.9000000E+002
 2.9898990E-009 ;  1.0700000E+002
 3.0707071E-009 ;  1.9200000E+002
 3.1515152E-009 ;  7.0000000E+001
 3.2323232E-009 ;  1.4300000E+002
 3.3131313E-009 ;  5.9000000E+001
 3.3939394E-009 ;  1.0800000E+002
 3.4747475E-009 ;  3.5000000E+001
 3.5555556E-009 ;  7.8000000E+001
 3.6363636E-009 ;  2.7000000E+001
 3.7171717E-009 ;  6.5000000E+001
 3.7979798E-009 ;  1.9000000E+001
 3.8787879E-009 ;  5.9000000E+001
 3.9595960E-009 ;  2.2000000E+001
 4.0404040E-009 ;  3.7000000E+001
 4.1212121E-009 ;  1.2000000E+001
 4.2020202E-009 ;  5.2000000E+001
 4.2828283E-009 ;  1.3000000E+001
 4.3636364E-009 ;  2.8000000E+001
 4.4444444E-009 ;  1.1000000E+001
 4.5252525E-009 ;  3.2000000E+001
 4.6060606E-009 ;  1.3000000E+001
 4.6868687E-009 ;  1.8000000E+001
 4.7676768E-009 ;  9.0000000E+000
 4.8484848E-009 ;  2.4000000E+001
 4.9292929E-009 ;  4.0000000E+000
 5.0101010E-009 ;  2.5000000E+001
 5.0909091E-009 ;  7.0000000E+000
 5.1717172E-009 ;  3.3000000E+001
 5.2525253E-009 ;  1.5000000E+001
 5.3333333E-009 ;  2.3000000E+001
 5.4141414E-009 ;  5.0000000E+000
 5.4949495E-009 ;  1.8000000E+001
 5.5757576E-009 ;  1.5000000E+001
 5.6565657E-009 ;  2.0000000E+001
 5.7373737E-009 ;  9.0000000E+000
 5.8181818E-009 ;  2.7000000E+001
 5.8989899E-009 ;  8.0000000E+000
 5.9797980E-009 ;  2.3000000E+001
 6.0606061E-009 ;  1.2000000E+001
 6.1414141E-009 ;  2.2000000E+001
 6.2222222E-009 ;  7.0000000E+000
 6.3030303E-009 ;  2.2000000E+001
 6.3838384E-009 ;  8.0000000E+000
 6.4646465E-009 ;  1.8000000E+001
 6.5454545E-009 ;  5.0000000E+000
 6.6262626E-009 ;  2.6000000E+001
 6.7070707E-009 ;  1.2000000E+001
 6.7878788E-009 ;  2.9000000E+001
 6.8686869E-009 ;  9.0000000E+000
 6.9494949E-009 ;  2.2000000E+001
 7.0303030E-009 ;  9.0000000E+000
 7.1111111E-009 ;  2.7000000E+001
 7.1919192E-009 ;  1.0000000E+001
 7.2727273E-009 ;  2.7000000E+001
 7.3535354E-009 ;  7.0000000E+000
 7.4343434E-009 ;  1.4000000E+001
 7.5151515E-009 ;  1.1000000E+001
 7.5959596E-009 ;  2.1000000E+001
 7.6767677E-009 ;  7.0000000E+000
 7.7575758E-009 ;  2.4000000E+001
 7.8383838E-009 ;  6.0000000E+000
 7.9191919E-009 ;  2.0000000E+001
 8.0000000E-009 ;  9.0000000E+000
